Approximate location,Precise location,Name,Email address,User IDs,Address,Phone number,Race and ethnicity,Political or religious beliefs,Sexual orientation,Other info,User payment info,Purchase history,Credit score,Other financial info,Health info,Fitness info,Emails,SMS or MMS,Other in-app messages,Photos,Videos,Voice or sound recordings,Music files,Other audio files,Files and docs,Calendar,Contacts,App interactions,In-app search history,Installed apps,Other user-generated content,Other actions,Web browsing history,Crash logs,Diagnostics,Other app performance data,Device or other IDs,App Name,Genre,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girls Live Video Chat - O,Dating,,
0,0,0.25,0.125,0,0,0.25,0,0,0.25,0.125,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,SDate - Dating,Dating,Dating,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,Sexy Girl Live Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Indian Girls Live Video Call,Dating,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Girls Mobile Number Video Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girls Phone Numbers Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Love Chat,Dating,,
0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.25,0,0.25,Roulette Chat Video Omegle Ome,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ladki Se Call Karne Wala App,Dating,,
